DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
438,19060101,    0,     ,
438,19060102,    0,     ,
438,19060103,    0,     ,
438,19060104,    1,     ,
438,19060105,  173,     ,
438,19060106,  110,     ,
438,19060107,  115,     ,
438,19060108,   57,     ,
438,19060109,   22,     ,
438,19060110,   36,     ,
438,19060111,    0,     ,
438,19060112,   14,     ,
438,19060113,   82,     ,
438,19060114,  122,     ,
438,19060115,    0,     ,
438,19060116,    0,     ,
438,19060117,   83,     ,
438,19060118,    0,     ,
438,19060119,  113,     ,
438,19060120,   18,     ,
438,19060121,   99,     ,
438,19060122,   28,     ,
438,19060123,    0,     ,
438,19060124,    0,     ,
438,19060125,    1,     ,
438,19060126,   23,     ,
438,19060127,    6,     ,
438,19060128,    0,     ,
438,19060129,    0,     ,
438,19060130,   17,     ,
438,19060131,    1,     ,
438,19060201,    0,     ,
438,19060202,   19,     ,
438,19060203,   50,     ,
438,19060204,   46,     ,
438,19060205,    6,     ,
438,19060206,    0,     ,
438,19060207,    0,     ,
438,19060208,    3,     ,
438,19060209,   79,     ,
438,19060210,   15,     ,
438,19060211,   56,     ,
438,19060212,   38,     ,
438,19060213,    0,     ,
438,19060214,    0,     ,
438,19060215,    0,     ,
438,19060216,    0,     ,
438,19060217,   26,     ,
438,19060218,  115,     ,
438,19060219,   10,     ,
438,19060220,    9,     ,
438,19060221,   42,     ,
438,19060222,   31,     ,
438,19060223,    0,     ,
438,19060224,    1,     ,
438,19060225,    0,     ,
438,19060226,   39,     ,
438,19060227,    5,     ,
438,19060228,   30,     ,
438,19060301,   43,     ,
438,19060302,   43,     ,
438,19060303,   22,     ,
438,19060304,    0,     ,
438,19060305,    1,     ,
438,19060306,    0,     ,
438,19060307,    0,     ,
438,19060308,    0,     ,
438,19060309,   76,     ,
438,19060310,   37,     ,
438,19060311,    7,     ,
438,19060312,   27,     ,
438,19060313,   18,     ,
438,19060314,    6,     ,
438,19060315,   27,     ,
438,19060316,   60,     ,
438,19060317,   30,     ,
438,19060318,    0,     ,
438,19060319,    9,     ,
438,19060320,    9,     ,
438,19060321,   31,     ,
438,19060322,    1,     ,
438,19060323,    0,     ,
438,19060324,    2,     ,
438,19060325,    8,     ,
438,19060326,   17,     ,
438,19060327,    6,     ,
438,19060328,    0,     ,
438,19060329,    2,     ,
438,19060330,    8,     ,
438,19060331,    0,     ,
438,19060401,    1,     ,
438,19060402,    0,     ,
438,19060403,    0,     ,
438,19060404,    0,     ,
438,19060405,    0,     ,
438,19060406,    0,     ,
438,19060407,    0,     ,
438,19060408,    1,     ,
438,19060409,    0,     ,
438,19060410,    0,     ,
438,19060411,    0,     ,
438,19060412,    0,     ,
438,19060413,    0,     ,
438,19060414,    0,     ,
438,19060415,    1,     ,
438,19060416,    0,     ,
438,19060417,    0,     ,
