DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
475,19710101,    6,    4,
475,19710102,    2,    4,
475,19710103,    1,    2,
475,19710104,    0,    2,
475,19710105,    0,    2,
475,19710106,    0,    2,
475,19710107,    0,    2,
475,19710108,   19,    0,
475,19710109,   12,    0,
475,19710110,    0,    0,
475,19710111,    0,    0,
475,19710112,    0,    0,
475,19710113,    0,    0,
475,19710114,    0,    0,
475,19710115,    0,    0,
475,19710116,    2,    0,
475,19710117,   15,    0,
475,19710118,    0,    0,
475,19710119,   18,    0,
475,19710120,    1,    0,
475,19710121,   24,    0,
475,19710122,    6,    0,
475,19710123,   28,    0,
475,19710124,   92,    0,
475,19710125,   53,    0,
475,19710126,   83,    0,
475,19710127,   60,    0,
475,19710128,   61,    0,
475,19710129,   47,    0,
475,19710130,    1,    0,
475,19710131,   30,    0,
475,19710201,    0,    0,
475,19710202,    0,    0,
475,19710203,   56,    0,
475,19710204,    0,    0,
475,19710205,    1,    0,
475,19710206,    0,    0,
475,19710207,    5,    0,
475,19710208,    2,    0,
475,19710209,    0,    0,
475,19710210,    0,    0,
475,19710211,    0,    0,
475,19710212,    0,    0,
475,19710213,   67,    0,
475,19710214,    0,    0,
475,19710215,    0,    0,
475,19710216,  144,    0,
475,19710217,    0,    0,
475,19710218,   63,    0,
475,19710219,   11,    0,
475,19710220,    0,    0,
475,19710221,   18,    0,
475,19710222,    9,    0,
475,19710223,    0,    0,
475,19710224,    0,    0,
475,19710225,    1,    0,
475,19710226,    4,    0,
475,19710227,    0,    0,
475,19710228,    0,    0,
475,19710301,    0,  997,
475,19710302,    0,  997,
475,19710303,   26,    4,
475,19710304,    0,    2,
475,19710305,    0,    2,
475,19710306,    3,    4,
475,19710307,    0,    2,
475,19710308,    1,    2,
475,19710309,    4,    0,
475,19710310,    1,    0,
475,19710311,    4,    0,
475,19710312,   39,    0,
475,19710313,    0,    0,
475,19710314,    1,    0,
475,19710315,   12,    0,
475,19710316,   37,    0,
475,19710317,   45,    0,
475,19710318,   68,    0,
475,19710319,   12,    0,
475,19710320,   35,    0,
475,19710321,    2,    0,
475,19710322,    0,    0,
475,19710323,    0,    0,
475,19710324,   38,    0,
475,19710325,   12,    0,
