STN,YYYYMMDD,   RD,   SX,
229,19510101,   35,     ,
229,19510102,   35,     ,
229,19510103,    0,     ,
229,19510104,    0,     ,
229,19510105,   30,     ,
229,19510106,   60,     ,
229,19510107,   18,     ,
229,19510108,    2,     ,
229,19510109,   50,     ,
229,19510110,   20,     ,
229,19510111,  123,     ,
229,19510112,   95,     ,
229,19510113,   12,     ,
229,19510114,   36,     ,
229,19510115,   15,     ,
229,19510116,    0,     ,
229,19510117,   83,     ,
229,19510118,   85,     ,
229,19510119,   14,     ,
229,19510120,   41,     ,
229,19510121,   32,     ,
229,19510122,   36,     ,
229,19510123,    3,     ,
229,19510124,    0,     ,
229,19510125,    0,     ,
229,19510126,    0,     ,
229,19510127,   20,     ,
229,19510128,    4,     ,
229,19510129,    3,     ,
229,19510130,    0,     ,
229,19510131,    0,     ,
229,19510201,    0,     ,
229,19510202,    0,     ,
229,19510203,    0,     ,
229,19510204,   16,     ,
229,19510205,   39,     ,
229,19510206,    0,     ,
229,19510207,    2,     ,
229,19510208,   23,     ,
229,19510209,   82,     ,
229,19510210,    0,     ,
229,19510211,    0,     ,
229,19510212,    3,     ,
229,19510213,    0,     ,
229,19510214,   81,     ,
229,19510215,   12,     ,
229,19510216,    8,     ,
229,19510217,   80,     ,
229,19510218,   48,     ,
229,19510219,    2,     ,
229,19510220,   20,     ,
229,19510221,  123,     ,
229,19510222,   10,     ,
229,19510223,   32,     ,
229,19510224,    0,     ,
229,19510225,    9,     ,
229,19510226,    5,     ,
229,19510227,    0,     ,
229,19510228,    0,     ,
229,19510301,    0,     ,
229,19510302,    2,     ,
229,19510303,    0,     ,
229,19510304,    0,     ,
229,19510305,    0,     ,
229,19510306,    0,     ,
229,19510307,    0,     ,
229,19510308,    0,     ,
229,19510309,    0,     ,
229,19510310,    8,     ,
229,19510311,    1,     ,
229,19510312,   80,     ,
229,19510313,    0,     ,
229,19510314,   44,     ,
229,19510315,    0,     ,
229,19510316,    0,     ,
229,19510317,  167,     ,
229,19510318,   56,     ,
229,19510319,   48,     ,
229,19510320,    5,     ,
229,19510321,    0,     ,
229,19510322,   31,     ,
229,19510323,   15,     ,
229,19510324,  100,     ,
229,19510325,   78,     ,
229,19510326,   71,     ,
229,19510327,   90,     ,
229,19510328,   15,     ,
229,19510329,   34,     ,
